threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,871,714,0.4355,0.8197474167623421,0.357,0.5767366720516963,0.677,0.8398950131233596,0.3949919224555735,0.022727499999999998,0.0636624649859944,7.6725,0.02821105299517512,0.0125,0.0,0,0,0.30927250000000006
0.25,2000,847,710,0.4235,0.8382526564344747,0.355,0.5735056542810986,0.685,0.8661417322834646,0.3982229402261712,0.021875,0.061619718309859156,7.4115,0.02821105299517512,0.01,0.0,0,0,0.313125
0.5,2000,713,664,0.3565,0.9312762973352033,0.332,0.5363489499192245,0.7015,0.9698162729658792,0.44264943457189015,0.01443,0.043463855421686744,4.9965,0.028041016776114702,0.009,0.0,0,0,0.29957
0.75,2000,652,616,0.326,0.9447852760736196,0.308,0.4975767366720517,0.679,0.973753280839895,0.4894991922455573,0.011942499999999998,0.03877435064935065,4.055,0.027583999326452613,0.0085,0.0,0,0,0.2790575
0.8,2000,634,602,0.317,0.9495268138801262,0.301,0.4862681744749596,0.674,0.979002624671916,0.5008077544426495,0.011807499999999999,0.039227574750830566,3.983,0.027583009796217084,0.0065,0.0,0,0,0.2761925
0.825,2000,497,474,0.2485,0.9537223340040242,0.237,0.38287560581583197,0.613,0.9868766404199475,0.6066235864297254,0.004165,0.017573839662447258,1.6815,0.023335104924626645,0.005,0.0,0,0,0.222835
0.85,2000,398,383,0.199,0.9623115577889447,0.1915,0.30936995153473346,0.5695,0.9921259842519685,0.6833602584814217,0.0029575,0.015443864229765012,1.2755,0.022666994482278824,0.003,0.0,0,0,0.18254250000000002
0.875,2000,366,352,0.183,0.9617486338797814,0.176,0.284329563812601,0.554,0.9921259842519685,0.7092084006462036,0.0027800000000000004,0.015795454545454547,1.1825,0.022421142784878608,0.003,0.0,0,0,0.16722
0.9,2000,235,229,0.1175,0.9744680851063829,0.1145,0.18497576736672053,0.4945,0.9973753280839895,0.8117932148626817,0.0014,0.01222707423580786,0.6905,0.021624990040436387,0.001,0.0,0,0,0.11109999999999999
0.925,2000,204,199,0.102,0.9754901960784313,0.0995,0.16074313408723748,0.4795,0.9973753280839895,0.8368336025848142,0.0012350000000000002,0.012412060301507538,0.6045,0.021082990861032158,0.001,0.0,0,0,0.09626499999999999
0.95,2000,192,187,0.096,0.9739583333333334,0.0935,0.15105008077544427,0.4735,0.9973753280839895,0.8465266558966075,0.001145,0.012245989304812835,0.5565,0.020674339612014585,0.001,0.0,0,0,0.09035499999999999
0.975,2000,140,136,0.07,0.9714285714285714,0.068,0.1098546042003231,0.4485,0.9986876640419947,0.8877221324717286,0.0007574999999999999,0.01113970588235294,0.392,0.016464233340229832,0.0005,0.0,0,0,0.06624250000000001
1.0,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
