threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.25,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.5,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.75,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.8,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.825,2000,221,209,0.1105,0.9457013574660633,0.1045,0.16587301587301587,0.471,0.9905405405405405,0.8301587301587302,0.0023725,0.022703349282296652,0.827,0.02204199117841199,0.003,0.0,0,0,0.0961275
0.85,2000,181,171,0.0905,0.9447513812154696,0.0855,0.1357142857142857,0.452,0.9905405405405405,0.861904761904762,0.0018725,0.02190058479532164,0.659,0.02174999099224806,0.003,0.0,0,0,0.0776275
0.875,2000,181,171,0.0905,0.9447513812154696,0.0855,0.1357142857142857,0.452,0.9905405405405405,0.861904761904762,0.0018725,0.02190058479532164,0.659,0.02174999099224806,0.003,0.0,0,0,0.0776275
0.9,2000,181,171,0.0905,0.9447513812154696,0.0855,0.1357142857142857,0.452,0.9905405405405405,0.861904761904762,0.0018725,0.02190058479532164,0.659,0.02174999099224806,0.003,0.0,0,0,0.0776275
0.925,2000,181,171,0.0905,0.9447513812154696,0.0855,0.1357142857142857,0.452,0.9905405405405405,0.861904761904762,0.0018725,0.02190058479532164,0.659,0.02174999099224806,0.003,0.0,0,0,0.0776275
0.95,2000,154,146,0.077,0.948051948051948,0.073,0.11587301587301588,0.4395,0.9905405405405405,0.8833333333333333,0.0017375000000000001,0.023801369863013698,0.5865,0.02174999099224806,0.003,0.0,0,0,0.0652625
0.975,2000,154,146,0.077,0.948051948051948,0.073,0.11587301587301588,0.4395,0.9905405405405405,0.8833333333333333,0.0017375000000000001,0.023801369863013698,0.5865,0.02174999099224806,0.003,0.0,0,0,0.0652625
1.0,2000,0,0,0.0,,0.0,0.0,0.37,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
