threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,831,600,0.4155,0.7220216606498195,0.3,0.5352363960749331,0.648,0.7918088737201365,0.42194469223907227,0.018005,0.06001666666666666,6.4845,0.02837498323060572,0.013,0.0,98,0,0.25599500000000003
0.25,2000,767,571,0.3835,0.7444589308996089,0.2855,0.5093666369313113,0.647,0.8225255972696246,0.45495093666369313,0.014975,0.05245183887915937,5.401,0.027633307036012404,0.013,0.0,88,0,0.24452500000000005
0.5,2000,685,531,0.3425,0.7751824817518248,0.2655,0.47368421052631576,0.645,0.863481228668942,0.495985727029438,0.0109975,0.041421845574387946,4.0475,0.02729615080170333,0.012,0.0,81,0,0.2305025
0.75,2000,471,382,0.2355,0.8110403397027601,0.191,0.3407671721677074,0.5925,0.9135381114903299,0.647636039250669,0.00337,0.017643979057591623,1.4205,0.023707980290055275,0.007,0.0,61,0,0.17363
0.8,2000,446,365,0.223,0.8183856502242153,0.1825,0.3256021409455843,0.5875,0.9215017064846417,0.6636931311329171,0.0031075,0.017027397260273972,1.3325,0.023500004317611456,0.0055,0.0,57,0,0.1683925
0.825,2000,410,338,0.205,0.824390243902439,0.169,0.3015165031222123,0.578,0.9306029579067122,0.6886708296164139,0.0027425,0.016227810650887575,1.2085,0.023208005586639047,0.0045,0.0,51,0,0.1572575
0.85,2000,403,332,0.2015,0.8238213399503722,0.166,0.296164139161463,0.575,0.9306029579067122,0.6949152542372882,0.00269,0.016204819277108432,1.1765,0.023086044529918578,0.0045,0.0,51,0,0.15431
0.875,2000,311,261,0.1555,0.8392282958199357,0.1305,0.2328278322925959,0.5485,0.9510807736063709,0.7609277430865299,0.0014225000000000002,0.010900383141762452,0.7365,0.02196106361225247,0.0005,0.0,42,0,0.1280775
0.9,2000,225,189,0.1125,0.84,0.0945,0.16859946476360393,0.5175,0.962457337883959,0.8287243532560215,0.00103,0.0108994708994709,0.529,0.021460119751282033,0.0005,0.0,32,0,0.09247
0.925,2000,225,189,0.1125,0.84,0.0945,0.16859946476360393,0.5175,0.962457337883959,0.8287243532560215,0.00103,0.0108994708994709,0.529,0.021460119751282033,0.0005,0.0,32,0,0.09247
0.95,2000,196,167,0.098,0.8520408163265306,0.0835,0.14897413024085637,0.51,0.9704209328782708,0.848349687778769,0.00092,0.011017964071856288,0.474,0.02062498388113454,0.0005,0.0,25,0,0.08158
0.975,2000,148,126,0.074,0.8513513513513513,0.063,0.11239964317573595,0.492,0.9761092150170648,0.8867082961641392,0.000705,0.01119047619047619,0.3615,0.01580030075274407,0.0005,0.0,20,0,0.061295
1.0,2000,0,0,0.0,,0.0,0.0,0.4395,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
