threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,783,607,0.3915,0.7752234993614304,0.3035,0.4903069466882068,0.6725,0.968503937007874,0.3869143780290792,0.009869999999999999,0.03252059308072487,3.6545,0.027375004719942808,0.0115,0.0,0,0,0.27063
0.25,2000,686,603,0.343,0.8790087463556852,0.3015,0.48707592891760904,0.673,0.9750656167979003,0.46122778675282716,0.0093275,0.03093698175787728,3.3935,0.027125002816319466,0.009,0.0,0,0,0.27417250000000004
0.5,2000,604,572,0.302,0.9470198675496688,0.286,0.4620355411954766,0.6575,0.9750656167979003,0.5274636510500808,0.0089175,0.031180069930069932,3.1835,0.027046148898079988,0.009,0.0,0,0,0.2590825
0.75,2000,449,422,0.2245,0.9398663697104677,0.211,0.3408723747980614,0.5835,0.9776902887139107,0.6510500807754442,0.008055,0.03817535545023697,2.736,0.02658305165823549,0.008,0.0,0,0,0.186945
0.8,2000,337,314,0.1685,0.9317507418397626,0.157,0.25363489499192243,0.531,0.9816272965879265,0.7390953150242326,0.0074675,0.04756369426751592,2.437,0.02604105102363974,0.0065,0.0,0,0,0.1365325
0.825,2000,322,302,0.161,0.937888198757764,0.151,0.24394184168012925,0.5255,0.9829396325459318,0.7504038772213247,0.00728,0.048211920529801326,2.369,0.025957997422665358,0.006,0.0,0,0,0.13172
0.85,2000,196,181,0.098,0.923469387755102,0.0905,0.14620355411954766,0.4665,0.9868766404199475,0.8497576736672051,0.00213,0.023535911602209945,0.804,0.022044067736715075,0.005,0.0,0,0,0.07837000000000001
0.875,2000,143,137,0.0715,0.958041958041958,0.0685,0.11066235864297254,0.4475,0.994750656167979,0.8877221324717286,0.0015475,0.02259124087591241,0.58,0.02158304414479062,0.002,0.0,0,0,0.0629525
0.9,2000,31,30,0.0155,0.967741935483871,0.015,0.024232633279483037,0.3955,0.9986876640419947,0.975767366720517,0.00023249999999999999,0.015499999999999998,0.124,0.0,0.0005,0.0,0,0,0.013767499999999998
0.925,2000,29,28,0.0145,0.9655172413793104,0.014,0.022617124394184167,0.3945,0.9986876640419947,0.9773828756058158,0.0002175,0.015535714285714286,0.116,0.0,0.0005,0.0,0,0,0.012782499999999999
0.95,2000,13,12,0.0065,0.9230769230769231,0.006,0.009693053311793215,0.3865,0.9986876640419947,0.9903069466882067,9.75e-05,0.01625,0.052,0.0,0.0005,0.0,0,0,0.0049025
0.975,2000,13,12,0.0065,0.9230769230769231,0.006,0.009693053311793215,0.3865,0.9986876640419947,0.9903069466882067,9.75e-05,0.01625,0.052,0.0,0.0005,0.0,0,0,0.0049025
1.0,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
