threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,853,762,0.4265,0.8933177022274326,0.381,0.6047619047619047,0.7195,0.9148648648648648,0.373015873015873,0.020509999999999997,0.05383202099737532,6.924,0.028877065051347014,0.0115,0.0,0,0,0.33749
0.25,2000,837,755,0.4185,0.9020310633213859,0.3775,0.5992063492063492,0.72,0.9256756756756757,0.37936507936507935,0.020390000000000002,0.054013245033112584,6.856,0.028836059209425,0.0075,0.0,0,0,0.34211
0.5,2000,723,688,0.3615,0.9515905947441217,0.344,0.546031746031746,0.7045,0.9743243243243244,0.44126984126984126,0.014074999999999999,0.040915697674418605,4.7685,0.02854309132089838,0.0075,0.0,0,0,0.31492499999999995
0.75,2000,678,645,0.339,0.9513274336283186,0.3225,0.5119047619047619,0.6835,0.9756756756756757,0.47619047619047616,0.0130125,0.040348837209302324,4.381,0.028461056353989985,0.007,0.0,0,0,0.2954875
0.8,2000,524,502,0.262,0.9580152671755725,0.251,0.3984126984126984,0.615,0.9837837837837838,0.5936507936507937,0.005137500000000001,0.02046812749003984,1.9495,0.023333006538450718,0.0055,0.0,0,0,0.2348625
0.825,2000,495,474,0.2475,0.9575757575757575,0.237,0.3761904761904762,0.6015,0.9851351351351352,0.6158730158730159,0.004155,0.017531645569620256,1.6355,0.022958003683015704,0.005,0.0,0,0,0.22284499999999996
0.85,2000,458,441,0.229,0.962882096069869,0.2205,0.35,0.586,0.9878378378378379,0.6436507936507937,0.0038250000000000003,0.017346938775510204,1.4945,0.022421142784878608,0.004,0.0,0,0,0.20867499999999997
0.875,2000,281,275,0.1405,0.9786476868327402,0.1375,0.21825396825396826,0.5065,0.9972972972972973,0.7785714285714286,0.00167,0.012145454545454546,0.7785,0.021249987185001373,0.001,0.0,0,0,0.13383
0.9,2000,257,252,0.1285,0.980544747081712,0.126,0.2,0.495,0.9972972972972973,0.7976190476190477,0.00155,0.012301587301587301,0.716,0.020502110419329252,0.001,0.0,0,0,0.12244999999999999
0.925,2000,232,227,0.116,0.978448275862069,0.1135,0.18015873015873016,0.4825,0.9972972972972973,0.8174603174603174,0.001425,0.012555066079295154,0.6535,0.01950415316969156,0.001,0.0,0,0,0.110075
0.95,2000,208,204,0.104,0.9807692307692307,0.102,0.1619047619047619,0.471,0.9972972972972973,0.8365079365079365,0.001305,0.012794117647058822,0.591,0.017670789384283084,0.001,0.0,0,0,0.09869499999999999
0.975,2000,74,70,0.037,0.9459459459459459,0.035,0.05555555555555555,0.404,0.9972972972972973,0.9428571428571428,0.0004025,0.011500000000000002,0.2095,0.0,0.001,0.0,0,0,0.032597499999999995
1.0,2000,7,6,0.0035,0.8571428571428571,0.003,0.004761904761904762,0.3725,0.9986486486486487,0.9952380952380953,5.2499999999999995e-05,0.017499999999999998,0.028,0.0,0.0005,0.0,0,0,0.0019474999999999998
