threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,639,566,0.3195,0.8857589984350548,0.283,0.45645161290322583,0.654,0.9763157894736842,0.4991935483870968,0.004985000000000001,0.017614840989399295,2.119,0.025585122057236728,0.009,0.0,0,0,0.260015
0.25,2000,590,565,0.295,0.9576271186440678,0.2825,0.45564516129032256,0.654,0.9776315789473684,0.5379032258064517,0.0047350000000000005,0.016761061946902658,1.9885,0.025540997739881277,0.0085,0.0,0,0,0.26076499999999997
0.5,2000,571,547,0.2855,0.957968476357268,0.2735,0.4411290322580645,0.6455,0.9789473684210527,0.5524193548387096,0.0045925,0.016791590493601464,1.9125,0.025296163221355524,0.008,0.0,0,0,0.2529075
0.75,2000,522,501,0.261,0.9597701149425287,0.2505,0.40403225806451615,0.6235,0.9815789473684211,0.5903225806451613,0.0042250000000000005,0.016866267465069862,1.7125,0.023960111138876524,0.007,0.0,0,0,0.232275
0.8,2000,480,462,0.24,0.9625,0.231,0.3725806451612903,0.6045,0.9828947368421053,0.6233870967741936,0.00372,0.016103896103896103,1.5365,0.023791062994860113,0.0065,0.0,0,0,0.21428000000000003
0.825,2000,412,398,0.206,0.9660194174757282,0.199,0.3209677419354839,0.5735,0.9855263157894737,0.6766129032258065,0.002875,0.014447236180904523,1.2565,0.023208055063150823,0.0055,0.0,0,0,0.185125
0.85,2000,407,393,0.2035,0.9656019656019657,0.1965,0.31693548387096776,0.571,0.9855263157894737,0.6806451612903226,0.0028374999999999997,0.014440203562340966,1.2365,0.022916006855666637,0.0055,0.0,0,0,0.1826625
0.875,2000,299,292,0.1495,0.9765886287625418,0.146,0.23548387096774193,0.524,0.9947368421052631,0.7620967741935484,0.0015775000000000001,0.010804794520547946,0.8045,0.021918150014244017,0.002,0.0,0,0,0.14042249999999998
0.9,2000,293,286,0.1465,0.9761092150170648,0.143,0.2306451612903226,0.521,0.9947368421052631,0.7669354838709678,0.001545,0.010804195804195805,0.788,0.021707995620090514,0.002,0.0,0,0,0.137455
0.925,2000,258,252,0.129,0.9767441860465116,0.126,0.2032258064516129,0.504,0.9947368421052631,0.7951612903225806,0.001365,0.010833333333333334,0.695,0.021249988640192896,0.002,0.0,0,0,0.12063499999999999
0.95,2000,155,150,0.0775,0.967741935483871,0.075,0.12096774193548387,0.453,0.9947368421052631,0.8782258064516129,0.0008425,0.011233333333333333,0.4305,0.015252099547069518,0.002,0.0,0,0,0.0701575
0.975,2000,80,75,0.04,0.9375,0.0375,0.06048387096774194,0.4155,0.9947368421052631,0.9387096774193548,0.0004675,0.012466666666666666,0.243,0.0,0.002,0.0,0,0,0.0330325
1.0,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
