threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,830,752,0.415,0.9060240963855422,0.376,0.5824941905499613,0.7055,0.9294781382228491,0.3958171959721146,0.0177225,0.047134308510638295,6.114,0.029085093410685655,0.0115,0.0,0,0,0.2998325
0.25,2000,766,723,0.383,0.943864229765013,0.3615,0.5600309837335399,0.7025,0.9619181946403385,0.4275755228505035,0.013935000000000001,0.03854771784232365,4.7975,0.028791982913389802,0.0115,0.0,0,0,0.296695
0.5,2000,619,588,0.3095,0.9499192245557351,0.294,0.45546088303640586,0.64,0.9760225669957687,0.533694810224632,0.0059025,0.020076530612244896,2.3925,0.025210119201801714,0.0085,0.0,0,0,0.25929250000000004
0.75,2000,485,466,0.2425,0.9608247422680413,0.233,0.36096049573973665,0.5825,0.9858956276445698,0.6320681642137878,0.003595,0.015429184549356224,1.556,0.024252058938145634,0.005,0.0,0,0,0.212215
0.8,2000,419,404,0.2095,0.964200477326969,0.202,0.3129357087529047,0.5525,0.9887165021156559,0.6816421378776143,0.0029,0.014356435643564355,1.296,0.02345802931813523,0.004,0.0,0,0,0.18530000000000002
0.825,2000,315,305,0.1575,0.9682539682539683,0.1525,0.23625096824167313,0.5055,0.995768688293371,0.7583268783888458,0.0017,0.011147540983606557,0.88,0.0224630901357159,0.0015,0.0,0,0,0.1444
0.85,2000,273,269,0.1365,0.9853479853479854,0.1345,0.20836560805577073,0.489,1.0,0.7885360185902401,0.0014675,0.010910780669144981,0.754,0.022249996254686266,0.0,0.0,0,0,0.13009749999999998
0.875,2000,257,253,0.1285,0.9844357976653697,0.1265,0.1959721146398141,0.481,1.0,0.8009295120061968,0.001365,0.010790513833992094,0.7005,0.021750020096078515,0.0,0.0,0,0,0.122405
0.9,2000,230,226,0.115,0.9826086956521739,0.113,0.17505809450038728,0.4675,1.0,0.8218435321456236,0.00123,0.01088495575221239,0.633,0.021624990040436387,0.0,0.0,0,0,0.10931
0.925,2000,228,224,0.114,0.9824561403508771,0.112,0.1735089078233927,0.4665,1.0,0.8233927188226181,0.00122,0.010892857142857143,0.628,0.021624990040436387,0.0,0.0,0,0,0.10834
0.95,2000,156,153,0.078,0.9807692307692307,0.0765,0.1185127807900852,0.431,1.0,0.879163439194423,0.0008125,0.010620915032679739,0.417,0.015708057617302984,0.0,0.0,0,0,0.0740625
0.975,2000,0,0,0.0,,0.0,0.0,0.3545,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
1.0,2000,0,0,0.0,,0.0,0.0,0.3545,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
