threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,1120,1077,0.56,0.9616071428571429,0.5385,0.8447058823529412,0.901,1.0,0.12156862745098039,0.031045000000000003,0.057650882079851445,9.649,0.03024999750778079,0.0,0.0,0,0,0.507455
0.25,2000,1077,1077,0.5385,1.0,0.5385,0.8447058823529412,0.901,1.0,0.15529411764705883,0.0305075,0.056652739090065,9.477,0.03024999750778079,0.0,0.0,0,0,0.5079925
0.5,2000,1077,1077,0.5385,1.0,0.5385,0.8447058823529412,0.901,1.0,0.15529411764705883,0.0305075,0.056652739090065,9.477,0.03024999750778079,0.0,0.0,0,0,0.5079925
0.75,2000,1031,1031,0.5155,1.0,0.5155,0.8086274509803921,0.878,1.0,0.19137254901960785,0.0268275,0.05204170708050437,8.442,0.03024999750778079,0.0,0.0,0,0,0.4886725
0.8,2000,1031,1031,0.5155,1.0,0.5155,0.8086274509803921,0.878,1.0,0.19137254901960785,0.0268275,0.05204170708050437,8.442,0.03024999750778079,0.0,0.0,0,0,0.4886725
0.825,2000,1010,1010,0.505,1.0,0.505,0.792156862745098,0.8675,1.0,0.20784313725490197,0.0257775,0.05104455445544554,8.127,0.029669039940927174,0.0,0.0,0,0,0.47922250000000005
0.85,2000,924,924,0.462,1.0,0.462,0.7247058823529412,0.8245,1.0,0.2752941176470588,0.019467500000000002,0.04213744588744589,6.3345,0.02925416774814948,0.0,0.0,0,0,0.44253250000000005
0.875,2000,862,862,0.431,1.0,0.431,0.676078431372549,0.7935,1.0,0.323921568627451,0.018692499999999997,0.04337006960556844,6.0865,0.029171137430239465,0.0,0.0,0,0,0.4123075
0.9,2000,633,633,0.3165,1.0,0.3165,0.4964705882352941,0.679,1.0,0.5035294117647059,0.0051325,0.016216429699842022,2.124,0.02475001383572817,0.0,0.0,0,0,0.31136749999999996
0.925,2000,633,633,0.3165,1.0,0.3165,0.4964705882352941,0.679,1.0,0.5035294117647059,0.0051325,0.016216429699842022,2.124,0.02475001383572817,0.0,0.0,0,0,0.31136749999999996
0.95,2000,633,633,0.3165,1.0,0.3165,0.4964705882352941,0.679,1.0,0.5035294117647059,0.0051325,0.016216429699842022,2.124,0.02475001383572817,0.0,0.0,0,0,0.31136749999999996
0.975,2000,553,553,0.2765,1.0,0.2765,0.4337254901960784,0.639,1.0,0.5662745098039216,0.0041325,0.014945750452079567,1.804,0.024542008759453893,0.0,0.0,0,0,0.2723675
1.0,2000,0,0,0.0,,0.0,0.0,0.3625,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
