threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,914,776,0.457,0.849015317286652,0.388,0.6258064516129033,0.715,0.8605263157894737,0.34838709677419355,0.024677499999999998,0.06360180412371133,8.3105,0.0293770688585937,0.007,0.0,0,0,0.3493225
0.25,2000,832,753,0.416,0.9050480769230769,0.3765,0.6072580645161291,0.7315,0.9342105263157895,0.36935483870967745,0.0198275,0.052662682602921645,6.7705,0.029374992300290614,0.007,0.0,0,0,0.3426725
0.5,2000,771,718,0.3855,0.9312581063553826,0.359,0.5790322580645161,0.7265,0.9671052631578947,0.39838709677419354,0.016272500000000002,0.04532729805013928,5.6775,0.02879406092688441,0.007,0.0,0,0,0.3287275
0.75,2000,651,618,0.3255,0.9493087557603687,0.309,0.49838709677419357,0.679,0.9736842105263158,0.49112903225806454,0.0124,0.040129449838187704,4.1875,0.028582988306879997,0.006,0.0,0,0,0.2846
0.8,2000,482,465,0.241,0.9647302904564315,0.2325,0.375,0.6065,0.9842105263157894,0.6209677419354839,0.0041175,0.01770967741935484,1.6435,0.023667002096772194,0.0055,0.0,0,0,0.2173825
0.825,2000,415,402,0.2075,0.9686746987951808,0.201,0.3241935483870968,0.576,0.9868421052631579,0.6733870967741935,0.0032800000000000004,0.016318407960199007,1.3675,0.023125001462176442,0.0045,0.0,0,0,0.18872
0.85,2000,397,386,0.1985,0.9722921914357683,0.193,0.31129032258064515,0.569,0.9894736842105263,0.6862903225806452,0.0027625,0.014313471502590675,1.1965,0.02274999860674143,0.004,0.0,0,0,0.18223750000000002
0.875,2000,383,373,0.1915,0.9738903394255874,0.1865,0.3008064516129032,0.563,0.9907894736842106,0.6967741935483871,0.0026575,0.014249329758713137,1.1405,0.022293151414487507,0.0035,0.0,0,0,0.17684250000000004
0.9,2000,288,283,0.144,0.9826388888888888,0.1415,0.22822580645161292,0.5205,0.9973684210526316,0.7693548387096775,0.001505,0.010636042402826855,0.7665,0.021541047317441553,0.001,0.0,0,0,0.137995
0.925,2000,268,264,0.134,0.9850746268656716,0.132,0.2129032258064516,0.511,0.9973684210526316,0.785483870967742,0.0014,0.010606060606060605,0.711,0.0214600921026431,0.001,0.0,0,0,0.1286
0.95,2000,250,246,0.125,0.984,0.123,0.19838709677419356,0.502,0.9973684210526316,0.8,0.00131,0.01065040650406504,0.666,0.021083040337543935,0.001,0.0,0,0,0.11968999999999999
0.975,2000,147,144,0.0735,0.9795918367346939,0.072,0.11612903225806452,0.451,0.9973684210526316,0.8830645161290323,0.000795,0.011041666666666667,0.406,0.015416057431139052,0.001,0.0,0,0,0.069205
1.0,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
