threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,942,789,0.471,0.8375796178343949,0.3945,0.6121024049650892,0.7005,0.8607594936708861,0.3460046547711404,0.0311675,0.07900506970849176,10.3315,0.029167014872655272,0.0055,0.0,0,0,0.3523325
0.25,2000,871,772,0.4355,0.886337543053961,0.386,0.5989138867339022,0.713,0.919831223628692,0.36850271528316525,0.02759,0.07147668393782383,9.103,0.02875203645089641,0.0045,0.0,0,0,0.34940999999999994
0.5,2000,781,724,0.3905,0.9270166453265045,0.362,0.5616757176105508,0.705,0.9648382559774965,0.4134988363072149,0.023337499999999997,0.0644682320441989,7.7685,0.028544032829813656,0.0045,0.0,0,0,0.3296625
0.75,2000,508,484,0.254,0.952755905511811,0.242,0.37548487199379366,0.593,0.9873417721518988,0.612878200155159,0.010375,0.042871900826446284,3.6075,0.02374997711740434,0.002,0.0,0,0,0.227625
0.8,2000,504,480,0.252,0.9523809523809523,0.24,0.37238169123351433,0.591,0.9873417721518988,0.6159813809154383,0.010344999999999998,0.04310416666666666,3.5915,0.02366808475926518,0.002,0.0,0,0,0.225655
0.825,2000,434,414,0.217,0.9539170506912442,0.207,0.32117920868890615,0.5585,0.9887482419127989,0.669511249030256,0.0068200000000000005,0.03294685990338164,2.4965,0.02329100971110165,0.002,0.0,0,0,0.19618
0.85,2000,330,319,0.165,0.9666666666666667,0.1595,0.24747866563227308,0.513,0.9943741209563994,0.7470907680372382,0.0019125000000000001,0.011990595611285267,0.9535,0.022673272178508334,0.002,0.0,0,0,0.15358750000000002
0.875,2000,323,313,0.1615,0.9690402476780186,0.1565,0.24282389449185415,0.51,0.9943741209563994,0.752521334367727,0.00186,0.011884984025559106,0.9215,0.02246103977086022,0.002,0.0,0,0,0.15064
0.9,2000,309,299,0.1545,0.9676375404530745,0.1495,0.23196276183087663,0.503,0.9943741209563994,0.7633824670287044,0.001755,0.01173913043478261,0.8655,0.021877119434066113,0.002,0.0,0,0,0.143745
0.925,2000,299,289,0.1495,0.9665551839464883,0.1445,0.22420480993017844,0.498,0.9943741209563994,0.7711404189294027,0.0017050000000000001,0.01179930795847751,0.8405,0.02179309958592057,0.002,0.0,0,0,0.13879500000000003
0.95,2000,293,283,0.1465,0.9658703071672355,0.1415,0.2195500387897595,0.495,0.9943741209563994,0.7757951900698216,0.001675,0.011837455830388692,0.8255,0.02166903868783265,0.002,0.0,0,0,0.135825
0.975,2000,185,178,0.0925,0.9621621621621622,0.089,0.13809154383242825,0.443,0.9957805907172996,0.8588052754072925,0.0010075000000000001,0.011320224719101124,0.522,0.01537710049888119,0.0015,0.0,0,0,0.08499250000000001
1.0,2000,14,14,0.007,1.0,0.007,0.010861132660977503,0.3625,1.0,0.9891388673390225,7.000000000000001e-05,0.01,0.035,0.0,0.0,0.0,0,0,0.0069299999999999995
