threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,1042,673,0.521,0.6458733205374281,0.3365,0.5341269841269841,0.676,0.9175675675675675,0.22142857142857142,0.0317475,0.09434621099554234,10.6215,0.028958040638826787,0.001,0.0,0,0,0.30275250000000004
0.25,2000,872,642,0.436,0.7362385321100917,0.321,0.5095238095238095,0.6725,0.95,0.3373015873015873,0.0290325,0.09044392523364486,9.654,0.02867318253265693,0.0,0.0,0,0,0.29196750000000005
0.5,2000,679,517,0.3395,0.7614138438880707,0.2585,0.4103174603174603,0.6135,0.9594594594594594,0.4849206349206349,0.0267125,0.10333655705996131,8.7415,0.028666041907854378,0.0,0.0,0,0,0.2317875
0.75,2000,316,282,0.158,0.8924050632911392,0.141,0.22380952380952382,0.506,0.9864864864864865,0.7571428571428571,0.0125175,0.08877659574468086,4.144,0.02116698451573029,0.0,0.0,0,0,0.1284825
0.8,2000,219,187,0.1095,0.8538812785388128,0.0935,0.1484126984126984,0.4585,0.9864864864864865,0.8341269841269842,0.011965,0.12796791443850267,3.883,0.021041982108727098,0.0,0.0,0,0,0.08153500000000001
0.825,2000,164,148,0.082,0.9024390243902439,0.074,0.11746031746031746,0.439,0.9864864864864865,0.8777777777777778,0.008664999999999999,0.11709459459459458,2.6405,0.020625011529773474,0.0,0.0,0,0,0.065335
0.85,2000,164,148,0.082,0.9024390243902439,0.074,0.11746031746031746,0.439,0.9864864864864865,0.8777777777777778,0.008664999999999999,0.11709459459459458,2.6405,0.020625011529773474,0.0,0.0,0,0,0.065335
0.875,2000,151,140,0.0755,0.9271523178807947,0.07,0.1111111111111111,0.4365,0.9905405405405405,0.8857142857142857,0.008015000000000001,0.1145,2.4155,0.020462211978156116,0.0,0.0,0,0,0.061985
0.9,2000,22,22,0.011,1.0,0.011,0.01746031746031746,0.381,1.0,0.9825396825396825,0.000275,0.025,0.088,0.0,0.0,0.0,0,0,0.010725
0.925,2000,22,22,0.011,1.0,0.011,0.01746031746031746,0.381,1.0,0.9825396825396825,0.000275,0.025,0.088,0.0,0.0,0.0,0,0,0.010725
0.95,2000,22,22,0.011,1.0,0.011,0.01746031746031746,0.381,1.0,0.9825396825396825,0.000275,0.025,0.088,0.0,0.0,0.0,0,0,0.010725
0.975,2000,22,22,0.011,1.0,0.011,0.01746031746031746,0.381,1.0,0.9825396825396825,0.000275,0.025,0.088,0.0,0.0,0.0,0,0,0.010725
1.0,2000,22,22,0.011,1.0,0.011,0.01746031746031746,0.381,1.0,0.9825396825396825,0.000275,0.025,0.088,0.0,0.0,0.0,0,0,0.010725
