threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,853,762,0.4265,0.8933177022274326,0.381,0.6047619047619047,0.7195,0.9148648648648648,0.373015873015873,0.0202775,0.05322178477690288,6.8775,0.029044062830507752,0.0115,0.0,0,0,0.30333499999999997
0.25,2000,793,729,0.3965,0.9192938209331651,0.3645,0.5785714285714286,0.711,0.9364864864864865,0.40793650793650793,0.0175175,0.04805898491083676,5.847,0.028794034733436998,0.0075,0.0,0,0,0.30274749999999995
0.5,2000,708,674,0.354,0.9519774011299436,0.337,0.5349206349206349,0.6975,0.9743243243243244,0.4531746031746032,0.013005000000000001,0.03859050445103858,4.4545,0.028584006940945983,0.0075,0.0,0,0,0.2867225
0.75,2000,506,484,0.253,0.9565217391304348,0.242,0.38412698412698415,0.606,0.9837837837837838,0.6079365079365079,0.004005,0.016549586776859505,1.633,0.02341700019314885,0.0055,0.0,0,0,0.21883
0.8,2000,480,460,0.24,0.9583333333333334,0.23,0.36507936507936506,0.5945,0.9851351351351352,0.6277777777777778,0.0037350000000000005,0.01623913043478261,1.525,0.02308297698618844,0.005,0.0,0,0,0.20864
0.825,2000,405,391,0.2025,0.9654320987654321,0.1955,0.3103174603174603,0.561,0.9878378378378379,0.6857142857142857,0.0030275000000000002,0.015485933503836318,1.245,0.022624997654929757,0.004,0.0,0,0,0.1782475
0.85,2000,275,269,0.1375,0.9781818181818182,0.1345,0.21349206349206348,0.5035,0.9972972972972973,0.7833333333333333,0.0014075,0.010464684014869888,0.717,0.021294035832397636,0.001,0.0,0,0,0.1275075
0.875,2000,275,269,0.1375,0.9781818181818182,0.1345,0.21349206349206348,0.5035,0.9972972972972973,0.7833333333333333,0.0014075,0.010464684014869888,0.717,0.021294035832397636,0.001,0.0,0,0,0.1275075
0.9,2000,252,247,0.126,0.9801587301587301,0.1235,0.19603174603174603,0.4925,0.9972972972972973,0.8015873015873016,0.0012925,0.010465587044534413,0.657,0.02083718864014372,0.001,0.0,0,0,0.1169225
0.925,2000,200,195,0.1,0.975,0.0975,0.15476190476190477,0.4665,0.9972972972972973,0.8428571428571429,0.0010325,0.01058974358974359,0.527,0.01675211096880957,0.001,0.0,0,0,0.0918325
0.95,2000,139,135,0.0695,0.9712230215827338,0.0675,0.10714285714285714,0.437,0.9986486486486487,0.8904761904761904,0.0007225,0.010703703703703705,0.3715,0.014833049499429762,0.0005,0.0,0,0,0.06392
0.975,2000,7,6,0.0035,0.8571428571428571,0.003,0.004761904761904762,0.3725,0.9986486486486487,0.9952380952380953,5.2499999999999995e-05,0.017499999999999998,0.028,0.0,0.0005,0.0,0,0,0.0018074999999999996
1.0,2000,3,2,0.0015,0.6666666666666666,0.001,0.0015873015873015873,0.3705,0.9986486486486487,0.9984126984126984,2.2499999999999998e-05,0.0225,0.012,0.0,0.0005,0.0,0,0,-8.250000000000014e-05
