threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,794,693,0.397,0.8727959697732998,0.3465,0.5597738287560582,0.6925,0.9081364829396326,0.41518578352180935,0.01824,0.052640692640692634,6.292,0.028916045266669244,0.0125,0.0,0,0,0.26677999999999996
0.25,2000,719,668,0.3595,0.9290681502086231,0.334,0.5395799676898223,0.7025,0.9671916010498688,0.4394184168012924,0.0141775,0.04244760479041916,4.9435,0.02879201201722026,0.01,0.0,0,0,0.2714675
0.5,2000,680,643,0.34,0.9455882352941176,0.3215,0.5193861066235864,0.692,0.9724409448818898,0.4676898222940226,0.0121525,0.03779937791601866,4.167,0.028627112624235448,0.009,0.0,0,0,0.26704249999999996
0.75,2000,515,488,0.2575,0.9475728155339805,0.244,0.39418416801292405,0.618,0.9816272965879265,0.5953150242326333,0.0043,0.01762295081967213,1.7535,0.024833038332872093,0.007,0.0,0,0,0.2171
0.8,2000,398,383,0.199,0.9623115577889447,0.1915,0.30936995153473346,0.5695,0.9921259842519685,0.6833602584814217,0.0029575,0.015443864229765012,1.2755,0.023627105110790577,0.003,0.0,0,0,0.1766275
0.825,2000,381,367,0.1905,0.963254593175853,0.1835,0.2964458804523425,0.5615,0.9921259842519685,0.697092084006462,0.0028725,0.015653950953678473,1.2305,0.023627105110790577,0.003,0.0,0,0,0.1688825
0.85,2000,267,258,0.1335,0.9662921348314607,0.129,0.2084006462035541,0.5085,0.9960629921259843,0.7867528271405493,0.0015725000000000001,0.012189922480620155,0.7845,0.0228749995585531,0.0015,0.0,0,0,0.1212825
0.875,2000,235,229,0.1175,0.9744680851063829,0.1145,0.18497576736672053,0.4945,0.9973753280839895,0.8117932148626817,0.0014,0.01222707423580786,0.6905,0.0221291440539062,0.001,0.0,0,0,0.10829999999999998
0.9,2000,217,212,0.1085,0.9769585253456221,0.106,0.17124394184168013,0.486,0.9973753280839895,0.8263327948303716,0.0013,0.012264150943396227,0.637,0.021791049221064895,0.001,0.0,0,0,0.1001
0.925,2000,165,160,0.0825,0.9696969696969697,0.08,0.12924071082390953,0.46,0.9973753280839895,0.8683360258481422,0.000905,0.0113125,0.468,0.021211059356573966,0.001,0.0,0,0,0.07528499999999999
0.95,2000,126,122,0.063,0.9682539682539683,0.061,0.09854604200323101,0.4415,0.9986876640419947,0.8990306946688207,0.0006850000000000001,0.011229508196721312,0.3555,0.016504159430041906,0.0005,0.0,0,0,0.057945
0.975,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
1.0,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
