threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,623,562,0.3115,0.9020866773675762,0.281,0.44603174603174606,0.642,0.9756756756756757,0.5198412698412699,0.004804999999999999,0.017099644128113878,2.0625,0.024754162586759772,0.0085,0.0,0,0,0.259195
0.25,2000,585,557,0.2925,0.9521367521367521,0.2785,0.44206349206349205,0.6405,0.9783783783783784,0.5484126984126985,0.0045975,0.016508078994614005,1.957,0.024627035600133237,0.0075,0.0,0,0,0.25890250000000004
0.5,2000,579,552,0.2895,0.9533678756476683,0.276,0.4380952380952381,0.638,0.9783783783783784,0.5531746031746032,0.0045525,0.016494565217391306,1.929,0.024544031475670632,0.0075,0.0,0,0,0.2564475
0.75,2000,519,496,0.2595,0.9556840077071291,0.248,0.39365079365079364,0.612,0.9837837837837838,0.5976190476190476,0.0041025,0.01654233870967742,1.689,0.023377053730655458,0.0055,0.0,0,0,0.23289749999999998
0.8,2000,443,429,0.2215,0.9683972911963883,0.2145,0.3404761904761905,0.5825,0.9945945945945946,0.6515873015873016,0.0033125,0.015442890442890442,1.39,0.022374995751306415,0.0015,0.0,0,0,0.2081875
0.825,2000,434,421,0.217,0.9700460829493087,0.2105,0.3341269841269841,0.5785,0.9945945945945946,0.6587301587301587,0.0032675,0.015522565320665083,1.365,0.022374995751306415,0.0015,0.0,0,0,0.2042325
0.85,2000,339,329,0.1695,0.9705014749262537,0.1645,0.2611111111111111,0.534,0.9986486486486487,0.7317460317460317,0.002145,0.01303951367781155,0.981,0.02158304414479062,0.0005,0.0,0,0,0.16135500000000003
0.875,2000,273,267,0.1365,0.978021978021978,0.1335,0.2119047619047619,0.503,0.9986486486486487,0.7841269841269841,0.0014025,0.01050561797752809,0.719,0.02099998528137803,0.0005,0.0,0,0,0.1310975
0.9,2000,263,257,0.1315,0.9771863117870723,0.1285,0.20396825396825397,0.498,0.9986486486486487,0.792063492063492,0.0013525,0.010525291828793774,0.694,0.02099998528137803,0.0005,0.0,0,0,0.1261475
0.925,2000,225,221,0.1125,0.9822222222222222,0.1105,0.17539682539682538,0.4805,1.0,0.8214285714285714,0.0011474999999999999,0.010384615384615384,0.5875,0.01905654498841612,0.0,0.0,0,0,0.10935249999999999
0.95,2000,158,154,0.079,0.9746835443037974,0.077,0.12222222222222222,0.447,1.0,0.8746031746031746,0.0008125,0.010551948051948052,0.42,0.015710106526967135,0.0,0.0,0,0,0.0761875
0.975,2000,80,77,0.04,0.9625,0.0385,0.06111111111111111,0.4085,1.0,0.9365079365079365,0.00042249999999999997,0.010974025974025973,0.2225,0.0,0.0,0.0,0,0,0.0380775
1.0,2000,0,0,0.0,,0.0,0.0,0.37,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
