threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,1143,1088,0.5715,0.9518810148731408,0.544,0.8580441640378549,0.91,1.0,0.09858044164037855,0.03102,0.05702205882352941,9.6955,0.03037709830095991,0.0,0.0,0,0,0.51298
0.25,2000,1088,1088,0.544,1.0,0.544,0.8580441640378549,0.91,1.0,0.14195583596214512,0.028820000000000002,0.05297794117647059,9.008,0.03037709830095991,0.0,0.0,0,0,0.51518
0.5,2000,1088,1088,0.544,1.0,0.544,0.8580441640378549,0.91,1.0,0.14195583596214512,0.028820000000000002,0.05297794117647059,9.008,0.03037709830095991,0.0,0.0,0,0,0.51518
0.75,2000,1088,1088,0.544,1.0,0.544,0.8580441640378549,0.91,1.0,0.14195583596214512,0.028820000000000002,0.05297794117647059,9.008,0.03037709830095991,0.0,0.0,0,0,0.51518
0.8,2000,1067,1067,0.5335,1.0,0.5335,0.8414826498422713,0.8995,1.0,0.15851735015772872,0.02714,0.050871602624179946,8.5355,0.03037709830095991,0.0,0.0,0,0,0.50636
0.825,2000,1067,1067,0.5335,1.0,0.5335,0.8414826498422713,0.8995,1.0,0.15851735015772872,0.02714,0.050871602624179946,8.5355,0.03037709830095991,0.0,0.0,0,0,0.50636
0.85,2000,997,997,0.4985,1.0,0.4985,0.7862776025236593,0.8645,1.0,0.2137223974763407,0.02154,0.04320962888665998,6.9605,0.03037499845959246,0.0,0.0,0,0,0.47696
0.875,2000,997,997,0.4985,1.0,0.4985,0.7862776025236593,0.8645,1.0,0.2137223974763407,0.02154,0.04320962888665998,6.9605,0.03037499845959246,0.0,0.0,0,0,0.47696
0.9,2000,791,791,0.3955,1.0,0.3955,0.6238170347003155,0.7615,1.0,0.37618296529968454,0.009179999999999999,0.023211125158027812,3.3555,0.027131252863910042,0.0,0.0,0,0,0.38632
0.925,2000,640,640,0.32,1.0,0.32,0.5047318611987381,0.686,1.0,0.4952681388012618,0.005680000000000001,0.017750000000000002,2.2785,0.025457995070610195,0.0,0.0,0,0,0.31432
0.95,2000,627,627,0.3135,1.0,0.3135,0.4944794952681388,0.6795,1.0,0.5055205047318612,0.005030000000000001,0.016044657097288677,2.0835,0.025127087428700175,0.0,0.0,0,0,0.30847
0.975,2000,557,557,0.2785,1.0,0.2785,0.4392744479495268,0.6445,1.0,0.5607255520504731,0.004155,0.014919210053859966,1.8035,0.02492116036592051,0.0,0.0,0,0,0.274345
1.0,2000,0,0,0.0,,0.0,0.0,0.366,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
