threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,940,637,0.47,0.6776595744680851,0.3185,0.49418153607447635,0.6645,0.9732770745428974,0.28549262994569435,0.0107525,0.033759811616954474,4.082,0.02750205458141863,0.007,0.0,0,0,0.29374750000000005
0.25,2000,669,637,0.3345,0.9521674140508222,0.3185,0.49418153607447635,0.6645,0.9732770745428974,0.495733126454616,0.0093975,0.029505494505494504,3.397,0.02750000567175448,0.007,0.0,0,0,0.2951025
0.5,2000,668,637,0.334,0.9535928143712575,0.3185,0.49418153607447635,0.665,0.9746835443037974,0.495733126454616,0.00939,0.02948194662480377,3.393,0.027499978023115546,0.0065,0.0,0,0,0.29611000000000004
0.75,2000,442,426,0.221,0.9638009049773756,0.213,0.330488750969744,0.5655,0.9915611814345991,0.6617532971295578,0.0029475,0.013838028169014086,1.37,0.0242940557654947,0.003,0.0,0,0,0.2040525
0.8,2000,368,354,0.184,0.9619565217391305,0.177,0.2746314972847168,0.5305,0.9943741209563994,0.7176105508145849,0.0021325,0.012048022598870056,1.074,0.023463096295017746,0.002,0.0,0,0,0.1708675
0.825,2000,365,351,0.1825,0.9616438356164384,0.1755,0.27230411171450736,0.529,0.9943741209563994,0.7199379363847944,0.00211,0.012022792022792023,1.062,0.023419049102813002,0.002,0.0,0,0,0.16938999999999999
0.85,2000,348,337,0.174,0.9683908045977011,0.1685,0.26144297905352987,0.5225,0.9957805907172996,0.7323506594259116,0.0018974999999999999,0.011261127596439168,0.986,0.023291059187613428,0.0015,0.0,0,0,0.16360249999999998
0.875,2000,329,319,0.1645,0.9696048632218845,0.1595,0.24747866563227308,0.5135,0.9957805907172996,0.7470907680372382,0.001755,0.011003134796238245,0.906,0.022131271543912583,0.0015,0.0,0,0,0.154745
0.9,2000,311,301,0.1555,0.9678456591639871,0.1505,0.2335143522110163,0.5045,0.9957805907172996,0.761055081458495,0.0016374999999999998,0.010880398671096345,0.8445,0.021960095909889784,0.0015,0.0,0,0,0.1458625
0.925,2000,301,291,0.1505,0.9667774086378738,0.1455,0.22575640031031807,0.4995,0.9957805907172996,0.7688130333591932,0.0015875,0.010910652920962199,0.8195,0.021957996068522334,0.0015,0.0,0,0,0.1409125
0.95,2000,301,291,0.1505,0.9667774086378738,0.1455,0.22575640031031807,0.4995,0.9957805907172996,0.7688130333591932,0.0015875,0.010910652920962199,0.8195,0.021957996068522334,0.0015,0.0,0,0,0.1409125
0.975,2000,153,145,0.0765,0.9477124183006536,0.0725,0.11249030256012413,0.4265,0.9957805907172996,0.8836307214895268,0.0008475000000000001,0.011689655172413793,0.4445,0.015166995581239462,0.0015,0.0,0,0,0.0686525
1.0,2000,28,27,0.014,0.9642857142857143,0.0135,0.02094647013188518,0.369,1.0,0.978277734678045,0.00014000000000000001,0.010370370370370372,0.0725,0.0,0.0,0.0,0,0,0.013359999999999999
