setting,policy,metric,mean,std,seeds
clean,conservative_dr,cost_per_success,0.05939925632642738,0.005000424018181466,5
clean,conservative_dr,unsafe_rate,0.0,0.0,5
clean,conservative_dr,mean_latency_ms,10.3028,1.1211333885849626,5
clean,conservative_dr,mean_excess_access,0.0108,0.024149534156997728,5
clean,conservative_dr,ess,282.66242236981884,7.202623720690018,5
clean,conservative_dr,dr_absolute_error,0.00017051107517029873,0.0001193197840892308,5
clean,oracle,utility,0.5923065,0.008454563412737485,5
clean,oracle,coverage,0.6277,0.008700574693662474,5
clean,oracle,success_all_tasks,0.6277,0.008700574693662474,5
clean,oracle,success_on_executed,1.0,0.0,5
clean,oracle,decision_accuracy,1.0,0.0,5
clean,oracle,cost_per_success,0.05639006333151607,0.00095075165285181,5
clean,oracle,unsafe_rate,0.0,0.0,5
clean,oracle,mean_latency_ms,11.0509,0.17781113575926605,5
clean,oracle,mean_excess_access,0.0,0.0,5
noisy,abstain,utility,0.0,0.0,5
noisy,abstain,coverage,0.0,0.0,5
noisy,abstain,success_all_tasks,0.0,0.0,5
noisy,abstain,decision_accuracy,0.36819999999999997,0.012799414049088352,5
noisy,abstain,unsafe_rate,0.0,0.0,5
noisy,abstain,mean_latency_ms,0.0,0.0,5
noisy,abstain,mean_excess_access,0.0,0.0,5
noisy,abstain,ess,177.8405244415983,9.960343579097433,5
noisy,abstain,dr_absolute_error,0.0,0.0,5
noisy,cheapest,utility,-0.06081650000000001,0.013390093422937724,5
noisy,cheapest,coverage,0.8131,0.013644595999882143,5
noisy,cheapest,success_all_tasks,0.3066,0.008134801780006697,5
noisy,cheapest,success_on_executed,0.3770465099072798,0.005805557157647841,5
noisy,cheapest,decision_accuracy,0.49349999999999994,0.008038967595406772,5
noisy,cheapest,cost_per_success,0.043772501292541274,0.0007515536147936152,5
noisy,cheapest,unsafe_rate,0.177,0.004213074886588183,5
noisy,cheapest,mean_latency_ms,5.8024000000000004,0.10190951869182774,5
noisy,cheapest,mean_excess_access,0.0,0.0,5
noisy,cheapest,ess,1634.303366284183,22.079799531605534,5
noisy,cheapest,dr_absolute_error,0.002934796670927012,0.005365553863758017,5
noisy,schema_match,utility,0.45618800000000004,0.011545777150109916,5
noisy,schema_match,coverage,0.8131,0.013644595999882143,5
noisy,schema_match,success_all_tasks,0.5593,0.01315579720123413,5
noisy,schema_match,success_on_executed,0.6878048587480039,0.005581988714204404,5
